pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-15,,0,1,0,1,62,283,,,119,542,1,0.00,0.19,0.00,0,0.00,0,109,,100.00,1,0.19,,,,,,,,,,,,,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-15,,1,1,0,2,82,197,,,105,252,0,0.00,0.26,0.00,0,0.00,0,8,,100.00,2,0.26,,,,,,,,,,,,,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-15,,0,0,0,0,481,336,,,491,343,0,0.00,0.00,0.00,0,,0,170,,,,0.00,,,,,,,,,,,,,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-15,,1,0,0,1,6,0,,,38,,1,0.00,0.63,0.00,0,0.00,0,0,,100.00,1,0.63,,,,,,,,,,,,,0.00
60,Yukon,Yukon,2020-03-15,,0,0,0,0,0,49,,,,1165,0,0.00,0.00,0.00,0,,0,12,,,,0.00,,,,,,,,,,,,,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-15,,0,0,0,0,76,65,,,1683,1439,0,0.00,0.00,0.00,0,,0,15,,,,0.00,,,,,,,,,,,,,0.00
62,Nunavut,Nunavut,2020-03-15,,0,0,0,0,6,1,,,152,25,0,0.00,0.00,0.00,0,,0,0,,,,0.00,,,,,,,,,,,,,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-15,,4,0,0,4,29,18,,,,,2,100.00,,,0,0.00,0,9,,100.00,4,,,,,,,,,,,,,,
1,Canada,Canada,2020-03-15,,249,4,2,253,25006,17357,,,658,457,54,27.14,0.67,0.01,0,0.79,2568,4148,,99.21,251,0.66,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-16,,73,0,4,73,9926,9863,,,1928,1916,0,0.00,1.42,0.08,3,5.48,2893,1550,,94.52,69,1.34,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-16,,56,0,0,56,10238,7391,,,2315,1671,17,43.59,1.27,0.00,0,0.00,4991,1555,,100.00,56,1.27,,,,,,,,,,,,,0.00
47,Saskatchewan,Saskatchewan,2020-03-16,,1,5,0,6,881,0,,,747,,4,200.00,0.51,0.00,0,0.00,532,0,,100.00,6,0.51,,,,,,,,,,,,,0.00
46,Manitoba,Manitoba,2020-03-16,,4,3,0,7,1848,1376,,,1340,998,3,75.00,0.51,0.00,0,0.00,1011,346,,100.00,7,0.51,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-16,,145,0,1,145,10178,0,,,691,,42,40.78,0.98,0.01,0,0.69,1717,0,,99.31,144,0.98,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-16,,39,0,0,39,3129,1901,,,365,222,15,62.50,0.45,0.00,0,0.00,792,672,,100.00,39,0.45,,,,,,,,,,,,,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-16,,0,1,0,1,161,384,,,308,735,0,0.00,0.19,0.00,0,0.00,99,101,,100.00,1,0.19,,,,,,,,,,,,,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-16,,1,5,0,6,143,225,,,183,288,4,200.00,0.77,0.00,0,0.00,61,28,,100.00,6,0.77,,,,,,,,,,,,,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-16,,0,3,0,3,1075,543,,,1098,554,3,0.00,0.31,0.00,0,0.00,594,207,,100.00,3,0.31,,,,,,,,,,,,,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-16,,1,0,0,1,6,42,,,38,263,0,0.00,0.63,0.00,0,0.00,0,42,,100.00,1,0.63,,,,,,,,,,,,,0.00
60,Yukon,Yukon,2020-03-16,,0,0,0,0,0,49,,,,1165,0,0.00,0.00,0.00,0,,0,0,,,,0.00,,,,,,,,,,,,,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-16,,0,0,0,0,138,80,,,3056,1771,0,0.00,0.00,0.00,0,,62,15,,,,0.00,,,,,,,,,,,,,0.00
62,Nunavut,Nunavut,2020-03-16,,0,0,0,0,7,2,,,178,51,0,0.00,0.00,0.00,0,,1,1,,,,0.00,,,,,,,,,,,,,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-16,,4,0,0,4,29,20,,,,,0,0.00,,,0,0.00,0,2,,100.00,4,,,,,,,,,,,,,,
1,Canada,Canada,2020-03-16,,324,17,5,341,37759,21876,,,994,576,88,34.78,0.90,0.01,3,1.47,12753,4519,,98.53,336,0.88,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-17,,103,0,7,103,11612,11673,,,2256,2268,30,41.10,2.00,0.14,3,6.80,1686,1810,,93.20,96,1.86,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-17,,74,0,0,74,11487,9225,,,2598,2086,18,32.14,1.67,0.00,0,0.00,1249,1834,,100.00,74,1.67,,,,,,,,,,,,,0.00
47,Saskatchewan,Saskatchewan,2020-03-17,,2,5,0,7,1066,0,,,904,,1,16.67,0.59,0.00,0,0.00,185,0,,100.00,7,0.59,,,,,,,,,,,,,0.00
46,Manitoba,Manitoba,2020-03-17,,7,0,0,7,2216,1643,,,1607,1191,0,0.00,0.51,0.00,0,0.00,368,267,,100.00,7,0.51,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-17,,177,0,1,177,11167,0,,,758,,32,22.07,1.20,0.01,0,0.56,989,0,,99.44,176,1.19,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-17,,50,0,0,50,4870,2676,,,568,312,11,28.21,0.58,0.00,0,0.00,1741,775,,100.00,50,0.58,,,,,,,,,,,,,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-17,,0,1,0,1,161,433,,,308,829,0,0.00,0.19,0.00,0,0.00,0,49,,100.00,1,0.19,,,,,,,,,,,,,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-17,,2,5,0,7,295,350,,,377,448,1,16.67,0.90,0.00,0,0.00,152,125,,100.00,7,0.90,,,,,,,,,,,,,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-17,,0,5,0,5,1075,648,,,1098,662,2,66.67,0.51,0.00,0,0.00,0,105,,100.00,5,0.51,,,,,,,,,,,,,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-17,,1,0,0,1,75,42,,,470,263,0,0.00,0.63,0.00,0,0.00,69,0,,100.00,1,0.63,,,,,,,,,,,,,0.00
60,Yukon,Yukon,2020-03-17,,0,0,0,0,0,75,,,,1784,0,0.00,0.00,0.00,0,,0,26,,,,0.00,,,,,,,,,,,,,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-17,,0,0,0,0,145,114,,,3211,2524,0,0.00,0.00,0.00,0,,7,34,,,,0.00,,,,,,,,,,,,,0.00
62,Nunavut,Nunavut,2020-03-17,,0,0,0,0,7,2,,,178,51,0,0.00,0.00,0.00,0,,0,0,,,,0.00,,,,,,,,,,,,,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-17,,8,0,0,8,29,26,,,,,4,100.00,,,0,0.00,0,6,,100.00,8,,,,,,,,,,,,,,
1,Canada,Canada,2020-03-17,,424,16,8,440,44205,26907,,,1163,708,99,29.03,1.16,0.02,3,1.82,6446,5031,,98.18,432,1.14,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-18,,186,0,7,186,13388,15190,,,2601,2951,83,80.58,3.61,0.14,0,3.76,1776,3517,,96.24,179,3.48,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-18,,97,0,0,97,13686,10710,,,3095,2422,23,31.08,2.19,0.00,0,0.00,2199,1485,,100.00,97,2.19,,,,,,,,,,,,,0.00
47,Saskatchewan,Saskatchewan,2020-03-18,,2,6,0,8,1910,191,,,1620,162,1,14.29,0.68,0.00,0,0.00,844,191,,100.00,8,0.68,,,,,,,,,,,,,0.00
46,Manitoba,Manitoba,2020-03-18,,8,7,0,15,2739,2055,,,1986,1490,8,114.29,1.09,0.00,0,0.00,523,412,,100.00,15,1.09,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-18,,189,0,1,189,13869,0,,,941,,12,6.78,1.28,0.01,0,0.53,2702,0,,99.47,188,1.28,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-18,,74,0,1,74,5880,3780,,,686,441,24,48.00,0.86,0.01,1,1.35,1010,1104,,98.65,73,0.85,,,,,,,,,,,,,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-18,,0,3,0,3,161,577,,,308,1105,2,200.00,0.57,0.00,0,0.00,0,144,,100.00,3,0.57,,,,,,,,,,,,,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-18,,2,6,0,8,408,437,,,522,559,1,14.29,1.02,0.00,0,0.00,113,87,,100.00,8,1.02,,,,,,,,,,,,,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-18,,1,6,0,7,1278,981,,,1305,1002,2,40.00,0.71,0.00,0,0.00,203,333,,100.00,7,0.71,,,,,,,,,,,,,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-18,,1,0,0,1,75,42,,,470,263,0,0.00,0.63,0.00,0,0.00,0,0,,100.00,1,0.63,,,,,,,,,,,,,0.00
60,Yukon,Yukon,2020-03-18,,0,0,0,0,0,75,,,,1784,0,0.00,0.00,0.00,0,,0,0,,,,0.00,,,,,,,,,,,,,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-18,,0,0,0,0,145,121,,,3211,2679,0,0.00,0.00,0.00,0,,0,7,,,,0.00,,,,,,,,,,,,,0.00
62,Nunavut,Nunavut,2020-03-18,,0,0,0,0,7,2,,,178,51,0,0.00,0.00,0.00,0,,0,0,,,,0.00,,,,,,,,,,,,,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-18,,9,0,0,9,29,32,,,,,1,12.50,,,0,0.00,0,6,,100.00,9,,,,,,,,,,,,,,
1,Canada,Canada,2020-03-18,,569,28,9,597,53575,34193,,,1410,900,157,35.68,1.57,0.02,1,1.51,9370,7286,,98.49,588,1.55,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-19,,271,0,8,271,16382,18246,,,3182,3544,85,45.70,5.26,0.16,1,2.95,2994,3056,,97.05,263,5.11,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-19,,146,0,1,146,16507,12793,,,3733,2893,49,50.52,3.30,0.02,1,0.68,2821,2083,,99.32,145,3.28,,,,,,,,,,,,,0.00
47,Saskatchewan,Saskatchewan,2020-03-19,,8,12,0,20,1910,1062,,,1620,901,12,150.00,1.70,0.00,0,0.00,0,871,,100.00,20,1.70,,,,,,,,,,,,,0.00
46,Manitoba,Manitoba,2020-03-19,,17,0,0,17,3189,2598,,,2312,1884,2,13.33,1.23,0.00,0,0.00,450,543,,100.00,17,1.23,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-19,,258,0,2,258,18488,0,,,1255,,69,36.51,1.75,0.01,1,0.78,4619,0,,99.22,256,1.74,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-19,,121,0,1,121,6757,5274,,,788,615,47,63.51,1.41,0.01,0,0.83,877,1494,,99.17,120,1.40,,,,,,,,,,,,,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-19,,1,2,0,3,267,806,,,511,1544,0,0.00,0.57,0.00,0,0.00,106,229,,100.00,3,0.57,,,,,,,,,,,,,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-19,,7,4,0,11,527,543,,,674,695,3,37.50,1.41,0.00,0,0.00,119,106,,100.00,11,1.41,,,,,,,,,,,,,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-19,,5,9,0,14,1520,1197,,,1552,1222,7,100.00,1.43,0.00,0,0.00,242,216,,100.00,14,1.43,,,,,,,,,,,,,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-19,,2,0,0,2,75,42,,,470,263,1,100.00,1.25,0.00,0,0.00,0,0,,100.00,2,1.25,,,,,,,,,,,,,0.00
60,Yukon,Yukon,2020-03-19,,0,0,0,0,0,80,,,,1902,0,0.00,0.00,0.00,0,,0,5,,,,0.00,,,,,,,,,,,,,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-19,,0,0,0,0,221,123,,,4894,2724,0,0.00,0.00,0.00,0,,76,2,,,,0.00,,,,,,,,,,,,,0.00
62,Nunavut,Nunavut,2020-03-19,,0,0,0,0,8,4,,,203,102,0,0.00,0.00,0.00,0,,1,2,,,,0.00,,,,,,,,,,,,,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-19,,10,0,0,10,29,33,,,,,1,11.11,,,0,0.00,0,1,,100.00,10,,,,,,,,,,,,,,
1,Canada,Canada,2020-03-19,,846,27,12,873,65880,42801,,,1733,1126,276,46.23,2.30,0.03,3,1.37,12305,8608,,98.63,861,2.27,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-20,,271,0,9,271,18792,19392,,,3651,3767,0,0.00,5.26,0.17,1,3.32,2410,1146,,96.68,262,5.09,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-20,,195,0,1,195,19782,15671,,,4474,3544,49,33.56,4.41,0.02,0,0.51,3275,2878,,99.49,194,4.39,,,,,,,,,,,,,0.00
47,Saskatchewan,Saskatchewan,2020-03-20,,8,18,0,26,1910,1645,,,1620,1396,6,30.00,2.21,0.00,0,0.00,0,583,,100.00,26,2.21,,,,,,,,,,,,,0.00
46,Manitoba,Manitoba,2020-03-20,,17,0,0,17,3367,3049,,,2441,2211,0,0.00,1.23,0.00,0,0.00,178,451,,100.00,17,1.23,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-20,,311,0,2,311,21499,0,,,1459,,53,20.54,2.11,0.01,0,0.64,3011,0,,99.36,309,2.10,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-20,,139,0,1,139,8539,6745,,,996,787,18,14.88,1.62,0.01,0,0.72,1782,1471,,99.28,138,1.61,,,,,,,,,,,,,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-20,,3,1,0,4,287,1088,,,550,2084,1,33.33,0.77,0.00,0,0.00,20,282,,100.00,4,0.77,,,,,,,,,,,,,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-20,,7,4,0,11,640,666,,,819,852,0,0.00,1.41,0.00,0,0.00,113,123,,100.00,11,1.41,,,,,,,,,,,,,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-20,,5,10,0,15,1647,1374,,,1682,1403,1,7.14,1.53,0.00,0,0.00,127,177,,100.00,15,1.53,,,,,,,,,,,,,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-20,,2,0,0,2,75,42,,,470,263,0,0.00,1.25,0.00,0,0.00,0,0,,100.00,2,1.25,,,,,,,,,,,,,0.00
60,Yukon,Yukon,2020-03-20,,0,0,0,0,0,157,,,,3733,0,0.00,0.00,0.00,0,,0,77,,,,0.00,,,,,,,,,,,,,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-20,,0,0,0,0,268,191,,,5934,4229,0,0.00,0.00,0.00,0,,47,68,,,,0.00,,,,,,,,,,,,,0.00
62,Nunavut,Nunavut,2020-03-20,,0,0,0,0,8,14,,,203,356,0,0.00,0.00,0.00,0,,0,10,,,,0.00,,,,,,,,,,,,,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-20,,13,0,0,13,29,34,,,,,3,30.00,,,0,0.00,0,1,,100.00,13,,,,,,,,,,,,,,
1,Canada,Canada,2020-03-20,,971,33,13,1004,76843,50068,,,2022,1317,131,15.01,2.64,0.03,1,1.29,10963,7267,,98.71,991,2.61,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-21,,424,0,10,424,20417,20229,,,3966,3930,153,56.46,8.24,0.19,1,2.36,1625,837,,97.64,414,8.04,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-21,,226,0,1,226,23060,18540,,,5215,4193,31,15.90,5.11,0.02,0,0.44,3278,2869,,99.56,225,5.09,,,,,,,,,,,,,0.00
47,Saskatchewan,Saskatchewan,2020-03-21,,25,19,0,44,3807,2177,,,3230,1847,18,69.23,3.73,0.00,0,0.00,1897,532,,100.00,44,3.73,,,,,,,,,,,,,0.00
46,Manitoba,Manitoba,2020-03-21,,11,8,0,19,3668,3312,,,2659,2401,2,11.76,1.38,0.00,0,0.00,301,263,,100.00,19,1.38,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-21,,377,0,3,377,25470,0,,,1729,,66,21.22,2.56,0.02,1,0.80,3971,0,,99.20,374,2.54,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-21,,202,19,4,221,8539,9851,,,996,1149,82,58.99,2.58,0.05,3,1.81,0,3106,,98.19,217,2.53,,,,,,,,,,,,,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-21,,3,3,0,6,299,1301,,,573,2492,2,50.00,1.15,0.00,0,0.00,12,213,,100.00,6,1.15,,,,,,,,,,,,,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-21,,9,8,0,17,865,687,,,1107,879,6,54.55,2.18,0.00,0,0.00,225,21,,100.00,17,2.18,,,,,,,,,,,,,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-21,,9,12,0,21,1956,1611,,,1997,1645,6,40.00,2.14,0.00,0,0.00,309,237,,100.00,21,2.14,,,,,,,,,,,,,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-21,,2,0,0,2,75,42,,,470,263,0,0.00,1.25,0.00,0,0.00,0,0,,100.00,2,1.25,,,,,,,,,,,,,0.00
60,Yukon,Yukon,2020-03-21,,0,0,0,0,416,182,,,9893,4328,0,0.00,0.00,0.00,0,,416,25,,,,0.00,,,,,,,,,,,,,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-21,,1,0,0,1,301,210,,,6665,4650,1,0.00,2.21,0.00,0,0.00,33,19,,100.00,1,2.21,,,,,,,,,,,,,0.00
62,Nunavut,Nunavut,2020-03-21,,0,0,0,0,10,17,,,254,432,0,0.00,0.00,0.00,0,,2,3,,,,0.00,,,,,,,,,,,,,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-21,,13,0,0,13,29,36,,,,,0,0.00,,,0,0.00,0,2,,100.00,13,,,,,,,,,,,,,,
1,Canada,Canada,2020-03-21,,1302,69,18,1371,88912,58195,,,2339,1531,367,36.55,3.61,0.05,5,1.31,12069,8127,,98.69,1353,3.56,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-22,,424,0,10,424,22135,21740,,,4300,4223,0,0.00,8.24,0.19,0,2.36,1718,1511,,97.64,414,8.04,,,,,,,,,,,,,0.00
48,Alberta,Alberta,2020-03-22,,259,0,1,259,26999,22133,,,6106,5005,33,14.60,5.86,0.02,0,0.39,3939,3593,,99.61,258,5.83,,,,,,,,,,,,,0.00
47,Saskatchewan,Saskatchewan,2020-03-22,,33,19,0,52,4407,3001,,,3739,2546,8,18.18,4.41,0.00,0,0.00,600,824,,100.00,52,4.41,,,,,,,,,,,,,0.00
46,Manitoba,Manitoba,2020-03-22,,11,8,0,19,3936,3490,,,2854,2530,0,0.00,1.38,0.00,0,0.00,268,178,,100.00,19,1.38,,,,,,,,,,,,,0.00
35,Ontario,Ontario,2020-03-22,,425,0,5,425,28570,0,,,1939,,48,12.73,2.88,0.03,2,1.18,3100,0,,98.82,420,2.85,,,,,,,,,,,,,0.00
24,Quebec,Québec,2020-03-22,,221,0,4,221,8539,13442,,,996,1568,0,0.00,2.58,0.05,0,1.81,0,3591,,98.19,217,2.53,,,,,,,,,,,,,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-22,,3,6,0,9,299,1547,,,573,2963,3,50.00,1.72,0.00,0,0.00,0,246,,100.00,9,1.72,,,,,,,,,,,,,0.00
13,New Brunswick,Nouveau-Brunswick,2020-03-22,,9,8,0,17,924,917,,,1182,1173,0,0.00,2.18,0.00,0,0.00,59,230,,100.00,17,2.18,,,,,,,,,,,,,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-03-22,,28,0,0,28,2210,1922,,,2257,1963,7,33.33,2.86,0.00,0,0.00,254,311,,100.00,28,2.86,,,,,,,,,,,,,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-22,,3,0,0,3,75,42,,,470,263,1,50.00,1.88,0.00,0,0.00,0,0,,100.00,3,1.88,,,,,,,,,,,,,0.00
60,Yukon,Yukon,2020-03-22,,0,0,0,0,416,182,,,9893,4328,0,0.00,0.00,0.00,0,,0,0,,,,0.00,,,,,,,,,,,,,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-22,,1,0,0,1,301,255,,,6665,5646,0,0.00,2.21,0.00,0,0.00,0,45,,100.00,1,2.21,,,,,,,,,,,,,0.00
62,Nunavut,Nunavut,2020-03-22,,0,0,0,0,13,17,,,330,432,0,0.00,0.00,0.00,0,,3,0,,,,0.00,,,,,,,,,,,,,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-03-22,,13,0,0,13,29,42,,,,,0,0.00,,,0,0.00,0,6,,100.00,13,,,,,,,,,,,,,,
1,Canada,Canada,2020-03-22,,1430,41,20,1471,98853,68730,,,2601,1808,100,7.29,3.87,0.05,2,1.36,9941,10535,,98.64,1451,3.82,,,,,,,,,,,,,0.00
59,British Columbia,Colombie-Britannique,2020-03-23,,472,0,13,472,23460,23715,,,4557,4607,48,11.32,9.17,0.25,3,2.75,1325,1975,,97.25,459,8.92,,,,,,,,,,,,,0.00
